Distance L (mm),Slit Width (microns),Side,Fringe Order m,Distance from Center (mm)
600,80,Left,1,4.5
600,80,Right,1,4.9
600,80,Left,2,9.3
600,80,Right,2,10.3
600,80,Left,3,15.4
600,80,Right,3,14.3
600,80,Left,4,20.2
600,80,Right,4,20.1
600,80,Left,5,23.7
600,80,Right,5,24.6
700,80,Left,1,5.8
700,80,Right,1,5.6
700,80,Left,2,11.2
700,80,Right,2,11.5
700,80,Left,3,16.8
700,80,Right,3,17.2
700,80,Left,4,21.9
700,80,Right,4,22.6
700,80,Left,5,28.2
700,80,Right,5,28.4
800,80,Left,1,6.4
800,80,Right,1,6.8
800,80,Left,2,13.1
800,80,Right,2,13.3
800,80,Left,3,20.2
800,80,Right,3,19.8
800,80,Left,4,26.1
800,80,Right,4,26
800,80,Left,5,32
800,80,Right,5,33.7
900,80,Left,1,7.4
900,80,Right,1,7.8
900,80,Left,2,15.1
900,80,Right,2,14.8
900,80,Left,3,22.2
900,80,Right,3,21.8
900,80,Left,4,30.1
900,80,Right,4,29.3
900,80,Left,5,36.4
900,80,Right,5,36.7
1000,80,Left,1,8.2
1000,80,Right,1,8.1
1000,80,Left,2,16.1
1000,80,Right,2,16.5
1000,80,Left,3,24.4
1000,80,Right,3,23.8
1000,80,Left,4,33.3
1000,80,Right,4,32.6
1000,80,Left,5,41
1000,80,Right,5,40.7
