Distance L (mm),Slit Width (microns),Side,Fringe Order m,Distance from Center (mm)
400,40,Left,1,2.1
400,40,Left,1,2.1
400,40,Right,2,4.3
400,40,Right,2,3.9
400,40,Left,3,6.4
400,40,Left,3,6.1
400,40,Right,4,8.1
400,40,Right,4,8.3
400,40,Left,5,10.7
400,40,Left,5,10.2
500,40,Left,1,2.6
500,40,Right,1,2.6
500,40,Left,2,5.6
500,40,Right,2,5.2
500,40,Left,3,7.4
500,40,Right,3,8.1
500,40,Left,4,10.2
500,40,Right,4,10.3
500,40,Left,5,13.1
500,40,Right,5,12.7
600,40,Left,1,3.1
600,40,Right,1,3.4
600,40,Left,2,6.4
600,40,Right,2,6.1
600,40,Left,3,9.1
600,40,Right,3,9.6
600,40,Left,4,12.3
600,40,Right,4,12.7
600,40,Left,5,14.9
600,40,Right,5,15.2
700,40,Left,1,3.6
700,40,Right,1,3.5
700,40,Left,2,7.2
700,40,Right,2,7.5
700,40,Left,3,10.7
700,40,Right,3,11
700,40,Left,4,15.1
700,40,Right,4,14.7
700,40,Left,5,18
700,40,Right,5,18.2
800,40,Left,1,4.1
800,40,Right,1,3.8
800,40,Left,2,8.1
800,40,Right,2,8
800,40,Left,3,12.6
800,40,Right,3,12.5
800,40,Left,4,16.4
800,40,Right,4,16.5
800,40,Left,5,20.7
800,40,Right,5,20.8
