Distance L (mm),Slit Width (microns),Side,Fringe Order m,Distance From Center(mm)
100,100,Left,1,6.3
100,100,Right,1,6.2
100,100,Left,2,12.9
100,100,Right,2,13.1
100,100,Left,3,20
100,100,Right,3,19.6
100,100,Left,4,27.8
100,100,Right,4,26.6
100,100,Left,5,35.4
100,100,Right,5,37.2
150,100,Left,1,9.8
150,100,Right,1,10
150,100,Left,2,19.6
150,100,Right,2,20
150,100,Left,3,28.8
150,100,Right,3,30.1
150,100,Left,4,41
150,100,Right,4,41.2
150,100,Left,5,51
150,100,Right,5,52.5
200,100,Left,1,12.4
200,100,Right,1,12.3
200,100,Left,2,26
200,100,Right,2,25.4
200,100,Left,3,38.2
200,100,Right,3,38.6
200,100,Left,4,54.1
200,100,Right,4,53.7
200,100,Left,5,64.2
200,100,Right,5,63.7
250,100,Left,1,16.1
250,100,Right,1,16.7
250,100,Left,2,31.3
250,100,Right,2,33.8
250,100,Left,3,47.1
250,100,Right,3,48.1
250,100,Left,4,67.2
250,100,Right,4,69.2
250,100,Left,5,75.9
250,100,Right,5,77.4
300,100,Left,1,20.1
300,100,Right,1,19.9
300,100,Left,2,39
300,100,Right,2,41.1
300,100,Left,3,62.9
300,100,Right,3,60.3
300,100,Left,4,80.6
300,100,Right,4,81.2
300,100,Left,5,102.9
300,100,Right,5,101.4
