Va (V),I (nA)
0.00,0.00
5.30,0.02
6.00,0.04
6.20,0.05
6.40,0.05
6.50,0.05
6.60,0.05
6.90,0.05
7.30,0.05
7.60,0.04
8.00,0.04
8.30,0.04
8.50,0.05
9.20,0.07
10.50,0.22
11.00,0.23
11.20,0.21
11.70,0.14
12.70,0.07
13.40,0.08
13.70,0.11
14.20,0.15
14.60,0.21
15.20,0.35
15.40,0.36
15.40,0.36
15.50,0.37
15.70,0.39
15.9,0.37
16.4,0.25
16.8,0.15
17.2,0.12
17.6,0.1
17.7,0.1
18.1,0.12
18.7,0.18
18.9,0.23
19.6,0.43
19.9,0.55
20,0.58
20.4,0.59
21,0.43
21.5,0.28
21.9,0.18
22.3,0.14
22.5,0.14
22.8,0.15
23.9,0.37
24.4,0.53
24.7,0.66
25,0.71
25.4,0.69
25.6,0.66
26.3,0.38
26.7,0.23
27.3,0.18
27.6,0.18
27.8,0.21
28.1,0.23
28.5,0.31
29,0.43
29.4,0.58
29.9,0.73
30.2,0.76
30.4,0.74
30.6,0.66
31.2,0.47
32.2,0.22
32.3,0.21
32.6,0.22
32.8,0.24
33.5,0.36
34.1,0.56
34.6,0.77
34.9,0.89
35.3,0.94
35.5,0.85
36.1,0.6
36.5,0.51
36.8,0.39
37.1,0.33
37.4,0.33
37.5,0.33
37.8,0.34
38.3,0.42
38.6,0.52
39.3,0.84
39.5,0.98
